stocks,fx,bonds,total
1523299.335504992,25132577.409490943,-249424.4814247489,26406452.263571188
-522002.44152491353,-49765713.37582272,787185.8467353284,-49500529.97061231
917247.8591552526,-21853330.215212524,-1124387.652354598,-22060470.00841187
279757.83537224866,-15671096.199528456,-23642.404272980988,-15414980.768429188
186993.01921528205,-2791574.946292639,-1195657.3682550862,-3800239.295332443
93029.95035777614,29196819.43081212,-899774.9462857842,28390074.434884112
432780.2118079085,96865622.1652968,-1635239.1465162262,95663163.23058847
-539984.4714194648,8206381.429923296,-2683288.4892957807,4983108.4692080505
-490123.0187610891,-7370207.313259453,-1031850.1362392753,-8892180.468259817
-323011.2980270516,8556646.166201055,-1110322.167290017,7123312.700883986
373715.13037648425,-27167646.059378386,-470332.8834113702,-27264263.81241327
-746304.3219318334,135868460.47324598,-2002511.4463331252,133119644.70498101
-896019.5837348327,-12219643.963881522,-1143209.2199007422,-14258872.767517097
-103979.7404338438,-15955365.914175332,-118045.0923301205,-16177390.746939296
414024.31426779926,5929567.340598434,2233994.2257910147,8577585.880657248
348054.64074916765,49520565.31362033,-934651.938755542,48933968.01561396
-345401.4793868996,46474235.1720382,439854.3415398523,46568688.034191154
-852140.2936635092,9678457.983977914,-893638.4845964015,7932679.205718003
859014.6548314989,74966001.85565233,509215.8551382944,76334232.36562213
-605961.659956554,-2054236.2807806134,118101.0531354621,-2542096.8876017053
168924.90863996,-26747964.07069525,1137433.943058446,-25441605.218996845
-491498.0474294815,-8661781.717053562,-393142.60102552176,-9546422.365508566
-498945.666597642,3729764.795683086,-1051982.752051182,2178836.377034262
-727351.018353913,-23505269.751656294,-1985929.9868889302,-26218550.756899137
257156.98286990076,44928773.14853811,-734895.8522505164,44451034.2791575
457932.15346408635,61839814.09164387,-996573.2277795076,61301173.01732845
306959.09617016837,-59850461.39414674,1424268.9783731997,-58119233.31960337
1586707.713553533,104946594.32494617,-161980.20007567108,106371321.83842403
-369012.9026409611,5285834.500236094,577798.1014859602,5494619.699081093
410759.2805446647,3177172.309039682,798944.1621066928,4386875.75169104
-34739.35780133307,20800220.55081272,960505.9405679256,21725987.133579314
627582.0081229042,-44096917.47336429,-816369.1971539631,-44285704.66239535
-1208635.6436284054,-58743404.48487571,-1686548.1255046576,-61638588.25400877
-557293.0632101111,-31342074.61045766,48962.59252855927,-31850405.08113921
-540588.1798660997,94719393.4201104,989589.115245983,95168394.35549028
2202879.533563867,45434340.25337982,1356996.8526677415,48994216.63961143
-408017.51023533195,-4030058.8231143057,-640679.1807362661,-5078755.514085904
-19981.90319363959,-21042360.4589563,-344360.1381611526,-21406702.50031109
-172271.87979481556,-55204184.85897732,-224635.16313575208,-55601091.90190788
-507147.301046988,-22898924.51080987,-1209443.5158518702,-24615515.32770873
-547788.5892314576,63887580.3661972,-962538.9180297628,62377252.858935975
536102.4856509883,44297299.776518315,-469300.08739776164,44364102.17477154
65388.33680398576,-31435846.062020868,429332.4433121234,-30941125.281904757
84671.46156217903,-32181759.490849018,-613610.058794789,-32710698.088081628
4674.8150169644505,-39772685.43871498,987061.2249189839,-38780949.398779035
383380.48033560254,-1090932.3209062219,315056.2450340614,-392495.59553655796
-219856.2843595203,-42554913.069879144,-409579.4081982076,-43184348.762436874
